#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,China,218945,374,5153,12,202277,1602,11515,659,152,4,160000000,111163,1439323776,Asia
2,USA,83534060,77116,1024386,291,80910509,38417,1599165,1724,249672,3062,1011100248,3022041,334575277,North America
3,India,43098743,4195,524024,22,42554416,6717,20303,698,30676,373,839844925,597764,1404976711,Asia
4,Brazil,30543908,19725,664143,176,29612822,3728,266943,8318,141840,3084,63776166,296164,215340527,South America
5,France,28890139,40224,146608,110,27537876,111461,1205655,1511,440806,2237,269816888,4116868,65539354,Europe
6,Germany,25289590,86026,136812,248,23135500,135000,2017278,1279,300077,1623,122332384,1451551,84277039,Europe
7,UK,22114034,6551,176212,228,21456269,27474,481553,253,322633,2571,519264096,7575810,68542387,Europe
8,Russia,18216719,5541,376696,136,17588067,9408,251956,2300,124730,2579,273400000,1871966,146049633,Europe
9,S. Korea,17464782,26714,23206,48,0,0,0,423,340110,452,15804065,307769,51350394,Asia
10,Italy,16727251,44208,164304,125,15416301,62978,1146646,363,277409,2725,215559634,3574893,60298201,Europe
11,Turkey,15040238,1743,98826,7,14938050,2239,3362,975,174867,1149,159650441,1856197,86009425,Asia
12,Spain,12009059,18526,104869,67,11467015,6703,437175,339,256669,2241,471036328,10067437,46788109,Europe
13,Vietnam,10670570,3819,43055,6,9316237,1817,1311278,480,107837,435,85804106,867141,98950598,Asia
14,Argentina,9083673,0,128653,0,8895999,0,59021,372,197647,2799,35716069,777127,45959118,South America
15,Netherlands,8057700,1303,22270,1,7925873,27114,109557,52,468344,1294,21107399,1226842,17204654,Europe
16,Japan,8000280,21368,29726,18,7630309,32721,340245,170,63613,236,49155081,390852,125763913,Asia
17,Iran,7224431,375,141157,12,6999709,2659,83565,952,84033,1642,50914586,592226,85971597,Asia
18,Australia,6168859,38111,7454,30,5834675,34597,326730,127,236859,286,69812523,2680516,26044435,Australia/Oceania
19,Colombia,6093645,0,139809,0,5927076,0,26760,342,117454,2695,34560302,666144,51881103,South America
20,Indonesia,6047986,245,156357,17,5885099,329,6530,2771,21689,561,95994568,344255,278847134,Asia
21,Poland,5999513,607,116124,25,5334849,36,548540,1125,158842,3074,36144527,956956,37770322,Europe
22,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43675,2468,15801675,120232,131426017,North America
23,Ukraine,5002870,0,108411,0,0,0,0,177,115673,2507,19521252,451356,43250266,Europe
24,Malaysia,4454113,0,35569,0,4391090,0,27454,66,134447,1074,58880012,1777283,33129220,Asia
25,Thailand,4308319,7705,28979,62,4181671,11252,97669,1496,61440,413,17270775,246295,70122349,Asia
26,Austria,4172760,6001,18228,6,4084163,5916,70369,76,458495,2003,183969298,20214218,9100985,Europe
27,Belgium,4088336,0,31552,0,3861145,11116,195639,124,349955,2701,33714218,2885883,11682461,Europe
28,Israel,4087885,1084,10741,12,4052605,0,24539,150,438332,1152,41373364,4436346,9326000,Asia
29,Portugal,3935932,15761,22420,21,0,0,0,61,388083,2211,41500718,4091969,10141993,Europe
30,Czechia,3911327,933,40210,11,3860149,2718,10968,24,363995,3742,55261935,5142775,10745548,Europe
31,South Africa,3827378,9253,100505,34,3673270,4288,53603,192,63070,1656,24626847,405815,60684949,Africa
32,Canada,3787353,4262,39716,43,3476863,3095,270774,468,98754,1036,61161915,1594783,38351239,North America
33,Philippines,3686693,150,60439,0,3621737,327,4517,289,32839,538,29677552,264352,112265386,Asia
34,Switzerland,3619035,0,13865,0,3500631,8580,104539,69,412608,1581,20851897,2377336,8771118,Europe
35,Chile,3572817,3325,57614,17,3438641,4021,76562,180,183993,2967,37263025,1918971,19418229,South America
36,Peru,3569026,334,212913,7,0,0,0,347,105539,6296,30012076,887480,33817168,South America
37,Greece,3353886,5130,29349,34,3248273,0,76264,211,324694,2841,80435748,7787097,10329363,Europe
38,Denmark,2970809,807,6226,8,2951608,1509,12975,8,509595,1068,127272381,21831552,5829745,Europe
39,Romania,2898258,730,65554,9,2606660,0,226044,156,152528,3450,22810626,1200462,19001541,Europe
40,Sweden,2503090,0,18791,0,2472416,0,11883,16,245036,1840,18534055,1814365,10215175,Europe
41,Iraq,2325467,70,25213,1,2298866,149,1388,12,55523,602,18493357,441546,41883203,Asia
42,Serbia,2009249,509,16019,4,1980853,2234,12377,22,231678,1847,9530939,1098971,8672603,Europe
43,Bangladesh,1952766,19,29127,0,1897046,258,26593,1273,11644,174,14004592,83505,167709326,Asia
44,Hungary,1903200,0,46266,0,1808061,0,48873,40,197936,4812,11355462,1180990,9615207,Europe
45,Slovakia,1784410,504,19961,9,1752249,1732,12200,48,326545,3653,7109492,1301030,5464509,Europe
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163069,1352,16670254,1604519,10389567,Asia
47,Georgia,1655221,0,16811,0,1637293,0,1117,0,416400,4229,16920079,4256543,3975075,Asia
48,Pakistan,1528654,30,30372,0,1494141,0,4141,101,6682,133,28220768,123351,228784884,Asia
49,Ireland,1522363,889,7131,23,1474063,4054,41169,35,302098,1415,12101379,2401399,5039304,Europe
50,Norway,1427790,305,3006,0,0,0,0,20,259633,547,11002430,2000709,5499266,Europe
51,Kazakhstan,1305573,7,13661,1,1291252,65,660,24,68034,712,11575012,603177,19190079,Asia
52,Singapore,1212337,3420,1346,2,1147296,1720,63695,5,204268,227,23767171,4004558,5935030,Asia
53,Hong Kong,1206041,324,9344,11,0,0,0,5,158503,1228,44972952,5910547,7608932,Asia
54,Morocco,1165151,67,16070,1,1148780,72,301,293,30893,426,11237010,297939,37715777,Africa
55,Bulgaria,1158949,156,36965,0,989029,115,132955,77,169135,5395,9877826,1441556,6852197,Europe
56,Croatia,1126501,778,15874,9,1105260,1023,5367,16,277554,3911,4807551,1184511,4058680,Europe
57,Cuba,1103753,147,8527,0,1094554,137,672,23,97557,754,12920253,1141981,11313892,North America
58,Lebanon,1097390,122,10396,1,1083454,298,3540,186,162115,1536,4795578,708441,6769196,Asia
59,Lithuania,1059365,177,9116,4,1028426,742,21823,20,399397,3437,8262024,3114910,2652412,Europe
60,Finland,1052767,0,4150,0,46000,0,1002617,21,189464,747,10773620,1938900,5556562,Europe
61,Tunisia,1040712,0,28566,0,0,0,0,29,86393,2371,4584296,380558,12046235,Africa
62,Slovenia,1014709,735,6608,3,996373,1160,11728,17,487967,3178,2650666,1274687,2079464,Europe
63,Belarus,981838,579,6966,3,928536,0,46336,0,103969,738,13191812,1396905,9443602,Europe
64,Nepal,978914,15,11952,1,966747,17,215,0,32521,397,5650847,187728,30101179,Asia
65,New Zealand,977380,7421,797,23,923036,8295,53547,0,195394,159,7099152,1419234,5002100,Australia/Oceania
66,Bolivia,905272,60,21924,0,860929,632,22419,220,75653,1832,2705422,226091,11966073,South America
67,UAE,899835,198,2302,0,883740,279,13793,0,89001,228,156887853,15517566,10110339,Asia
68,Uruguay,899723,0,7210,0,888557,0,3956,18,257366,2062,6091188,1742386,3495888,South America
69,Ecuador,870526,0,35598,0,0,0,0,759,48000,1963,2470170,136202,18136103,South America
70,Costa Rica,857290,0,8421,0,836721,0,12148,42,165508,1626,4291131,828446,5179737,North America
71,Guatemala,848807,709,17683,30,828809,588,2315,5,45819,955,4495103,242645,18525416,North America
72,Latvia,824046,314,5789,9,812244,2099,6013,7,445953,3133,7196647,3894648,1847830,Europe
73,Azerbaijan,792607,8,9709,0,782846,7,52,0,76897,942,6829482,662581,10307387,Asia
74,Panama,784184,1919,8191,2,765227,820,10766,8,176627,1845,5918817,1333137,4439767,North America
75,Saudi Arabia,754842,219,9099,3,742348,109,3395,53,21078,254,41954451,1171530,35811663,Asia
76,Sri Lanka,663520,17,16507,0,646138,2,875,0,30749,765,6486117,300582,21578505,Asia
77,Paraguay,649718,263,18872,2,624673,0,6173,2,89078,2587,2633737,361093,7293790,South America
78,Kuwait,631701,292,2555,0,628486,396,660,3,144000,582,8038329,1832388,4386805,Asia
79,Myanmar,613017,52,19434,0,591928,26,1655,0,11129,353,8009269,145408,55081174,Asia
80,Palestine,581940,0,5353,0,576242,0,345,17,109395,1006,3078533,578715,5319604,Asia
81,Dominican Republic,579743,171,4376,0,574987,163,380,1,52474,396,3288872,297686,11048134,North America
82,Estonia,572434,0,2548,0,511857,0,58029,3,430992,1918,3329716,2506982,1328177,Europe
83,Bahrain,571441,680,1477,0,566352,424,3612,2,315651,816,9742059,5381286,1810359,Asia
84,Venezuela,522625,38,5709,0,515880,9,1036,230,18475,202,3359014,118745,28287662,South America
85,Moldova,516986,0,11489,0,504142,0,1355,49,128709,2860,3216305,800732,4016708,Europe
86,Egypt,515645,0,24613,0,442182,0,48850,122,4870,232,3693367,34881,105886134,Africa
87,Libya,501904,0,6430,0,490973,0,4501,101,71260,913,2477219,351715,7043258,Africa
88,Cyprus,474267,0,1020,0,124370,0,348877,60,387620,834,9477138,7745696,1223536,Asia
89,Ethiopia,470704,18,7510,0,455724,4,7470,5,3916,62,4807378,39994,120202679,Africa
90,Mongolia,469885,0,2179,0,313256,0,154450,192,139207,646,4030048,1193931,3375446,Asia
91,Honduras,423879,85,10895,0,132358,0,280626,105,41579,1069,1359869,133392,10194513,North America
92,Armenia,422877,0,8622,0,412026,0,2229,0,142218,2900,3059332,1028887,2973437,Asia
93,Réunion,398115,0,756,0,383424,0,13935,7,438901,833,1603660,1767952,907072,Africa
94,Oman,389126,0,4258,0,384243,0,625,4,72794,797,25000000,4676777,5345562,Asia
95,Bosnia and Herzegovina,377229,0,15768,0,192218,0,169243,0,116311,4862,1761186,543028,3243267,Europe
96,Qatar,364981,86,677,0,363749,49,555,2,129988,241,3458983,1231917,2807805,Asia
97,Kenya,323846,28,5649,0,318055,13,142,0,5788,101,3610647,64533,55950604,Africa
98,Zambia,319755,0,3976,0,315266,0,513,1,16541,206,3429405,177404,19331084,Africa
99,North Macedonia,310063,0,9284,0,300107,0,672,0,148839,4457,2026507,972778,2083217,Europe
100,Botswana,305859,0,2688,0,303026,0,145,1,125404,1102,2026898,831038,2438997,Africa
101,Albania,275266,0,3496,0,271480,0,290,2,95844,1217,1810232,630301,2872014,Europe
102,Taiwan,268447,36091,896,10,32318,1345,235233,0,11234,37,15134584,633349,23896116,Asia
103,Algeria,265791,5,6875,0,178361,2,80555,6,5866,152,230861,5095,45308187,Africa
104,Nigeria,255766,0,3143,0,249914,0,2709,11,1187,15,5075820,23549,215539410,Africa
105,Zimbabwe,248214,64,5473,1,241976,37,765,12,16264,359,2270879,148802,15261118,Africa
106,Luxembourg,241160,485,1068,0,231818,1476,8274,1,374054,1657,4238251,6573786,644720,Europe
107,Uzbekistan,238660,9,1637,0,236784,7,239,23,6945,48,1377915,40100,34361909,Asia
108,Montenegro,235644,95,2717,0,232314,88,613,6,375103,4325,2458105,3912859,628212,Europe
109,Mozambique,225409,2,2201,0,223163,4,45,13,6858,67,1315576,40028,32866312,Africa
110,Laos,208368,0,748,0,7660,0,199960,0,27894,100,1232128,164947,7469861,Asia
111,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131,29900,445,1907195,283712,6722283,Asia
112,Iceland,185795,0,119,0,75685,0,109991,0,538039,345,2264004,6556268,345319,Europe
113,Maldives,179171,0,298,0,163687,0,15186,25,321058,534,2213831,3966984,558064,Asia
114,Afghanistan,178919,14,7684,0,161924,8,9311,1124,4413,190,945154,23313,40541426,Asia
115,Uganda,164069,0,3596,0,100205,0,60268,2,3390,74,2612795,53985,48398096,Africa
116,El Salvador,162089,0,4128,0,150662,0,7299,8,24760,631,1950448,297940,6546444,North America
117,Ghana,161222,0,1445,0,159746,0,31,1,4997,45,2438745,75582,32266411,Africa
118,Namibia,159052,63,4026,0,153662,0,1364,0,60578,1533,1010056,384698,2625583,Africa
119,Martinique,153253,0,926,0,104,0,152223,8,408970,2471,828928,2212073,374729,North America
120,Trinidad and Tobago,150481,531,3845,0,137933,505,8703,18,106889,2731,714919,507817,1407829,North America
121,Brunei ,142465,153,218,0,141598,58,649,0,320010,490,717784,1612313,445189,Asia
122,Guadeloupe,140130,0,854,0,2250,0,137026,19,350106,2134,938039,2343633,400250,North America
123,Cambodia,136260,1,3056,0,133172,5,32,0,7948,178,2956510,172443,17144809,Asia
124,Jamaica,130787,191,2973,1,84150,106,43664,0,43815,996,1013520,339543,2984956,North America
125,Rwanda,129836,11,1459,0,45522,0,82855,0,9587,108,5295717,391032,13542917,Africa
126,Cameroon,119780,0,1927,0,117791,0,62,13,4315,69,1751774,63101,27761566,Africa
127,Angola,99194,0,1900,0,97149,0,145,0,2855,55,1499795,43164,34746825,Africa
128,Malta,92597,122,708,0,88498,285,3391,4,208690,1596,1892984,4266293,443707,Europe
129,DRC,87023,0,1337,0,50930,0,34756,0,920,14,846704,8953,94569953,Africa
130,Senegal,86012,0,1966,0,84030,2,16,0,4899,112,1073132,61127,17555671,Africa
131,Malawi,85800,3,2634,0,82072,0,1094,67,4282,131,575805,28734,20039371,Africa
132,Ivory Coast,81970,2,799,0,81150,8,21,0,2972,29,1505495,54586,27580026,Africa
133,French Guiana,80859,0,395,0,11254,0,69210,2,258397,1262,627211,2004349,312925,South America
134,Suriname,79393,0,1328,0,49402,0,28663,0,133141,2227,236066,395880,596307,South America
135,Channel Islands,74865,0,172,0,73987,0,706,0,423413,973,1252808,7085497,176813,Europe
136,French Polynesia,72776,11,648,0,0,0,0,7,256346,2283,0,0,283897,Australia/Oceania
137,Barbados,72743,461,403,1,68533,0,3807,0,252560,1399,657095,2281398,288023,North America
138,Eswatini,71072,108,1399,0,69070,51,603,11,60115,1183,1017997,861051,1182273,Africa
139,Fiji,64699,0,862,0,62815,0,1022,0,71223,949,508406,559671,908402,Australia/Oceania
140,Madagascar,64181,0,1391,0,59370,0,3420,14,2213,48,426220,14697,29000680,Africa
141,Guyana,63533,0,1228,0,62204,0,101,1,80063,1547,601903,758506,793538,South America
142,Sudan,62135,0,4933,0,0,0,0,0,1359,108,562941,12309,45732941,Africa
143,New Caledonia,60749,0,312,0,60231,0,206,9,209083,1074,98964,340609,290550,Australia/Oceania
144,Bhutan,59450,28,21,0,59142,109,287,2,75516,27,2302054,2924186,787246,Asia
145,Mauritania,58719,12,982,0,57700,0,37,0,12046,201,807064,165569,4874500,Africa
146,Belize,57612,34,676,0,56692,28,244,6,140206,1645,543928,1323712,410911,North America
147,Cabo Verde,56056,10,401,0,55572,4,83,23,98846,707,400982,707072,567102,Africa
148,Syria,55842,5,3150,0,52284,22,408,0,3054,172,146269,8000,18282823,Asia
149,Gabon,47602,0,304,0,47285,0,13,0,20497,131,1593622,686208,2322360,Africa
150,Papua New Guinea,43821,0,650,0,43133,0,38,7,4733,70,249149,26909,9258895,Australia/Oceania
151,Seychelles,42841,0,166,0,42223,0,452,0,430701,1669,0,0,99468,Africa
152,Curaçao,42241,0,274,0,41612,0,355,3,255498,1657,496693,3004288,165328,North America
153,Andorra,41717,0,153,0,41021,0,543,14,538332,1974,249838,3224007,77493,Europe
154,Burundi,40736,61,38,0,773,0,39925,0,3248,3,345742,27566,12542224,Africa
155,Mauritius,37744,11,990,0,36042,11,712,0,29588,776,358675,281170,1275652,Africa
156,Mayotte,37363,0,187,0,2964,0,34212,0,131133,656,176919,620932,284925,Africa
157,Togo,37000,4,273,0,36707,2,20,0,4285,32,732162,84783,8635713,Africa
158,Guinea,36459,0,440,0,35976,0,43,8,2644,32,660107,47875,13788116,Africa
159,Aruba,35189,343,212,0,34774,258,203,0,327035,1970,177885,1653206,107600,North America
160,Faeroe Islands,34658,0,28,0,7693,0,26937,5,704359,569,778000,15811401,49205,Europe
161,Tanzania,33872,0,803,0,0,0,0,7,539,13,0,0,62864118,Africa
162,Bahamas,33672,17,798,0,32397,9,477,0,84146,1994,229817,574313,400160,North America
163,Lesotho,32910,0,697,0,24155,0,8058,0,15141,321,431221,198399,2173507,Africa
164,Mali,30907,19,733,1,29998,8,176,0,1449,34,669471,31395,21323812,Africa
165,Haiti,30703,0,835,0,29555,0,313,0,2634,72,132422,11359,11658364,North America
166,Isle of Man,28416,0,87,0,26794,0,1535,0,330954,1013,150753,1755780,85861,Europe
167,Benin,26952,0,163,0,25506,0,1283,5,2121,13,604310,47556,12707376,Africa
168,Somalia,26485,0,1350,0,13182,0,11953,0,1585,81,400466,23967,16708914,Africa
169,Congo,24079,0,385,0,20178,0,3516,0,4175,67,347815,60301,5767972,Africa
170,Saint Lucia,23635,23,368,0,23013,36,254,0,127638,1987,143281,773772,185172,North America
171,Timor-Leste,22883,0,130,0,22730,0,23,0,16768,95,263328,192963,1364654,Asia
172,Cayman Islands,22828,0,27,0,8553,0,14248,1,339996,402,222773,3317938,67142,North America
173,Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11340,21957721,Africa
174,Nicaragua,18491,0,225,0,4225,0,14041,0,2731,33,0,0,6769616,North America
175,Gibraltar,17996,0,102,0,16579,0,1315,0,534450,3029,534283,15867278,33672,Europe
176,South Sudan,17492,1,138,0,13514,0,3840,1,1530,12,385179,33683,11435268,Africa
177,Tajikistan,17388,0,124,0,17264,0,0,0,1751,12,0,0,9931799,Asia
178,Liechtenstein,17260,30,84,0,17072,2,104,0,450312,2192,102174,2665710,38329,Europe
179,San Marino,16623,62,115,0,16251,76,257,4,488022,3376,152231,4469233,34062,Europe
180,Solomon Islands,16441,0,144,0,14797,0,1500,1,22902,201,5117,7128,717874,Australia/Oceania
181,Equatorial Guinea,15910,0,183,0,15701,0,26,5,10694,123,317211,213213,1487765,Africa
182,Djibouti,15631,0,189,0,15427,0,15,0,15408,186,305941,301586,1014442,Africa
183,Grenada,15303,165,220,0,14354,56,729,4,134848,1939,153060,1348748,113483,North America
184,CAR,14649,0,113,0,6859,0,7677,2,2939,23,81294,16310,4984299,Africa
185,Bermuda,13832,0,131,0,13289,0,412,0,223620,2118,885175,14310484,61855,North America
186,Dominica,12386,225,63,0,12119,94,204,0,171278,871,192785,2665906,72315,North America
187,Gambia,11995,0,365,0,11591,0,39,0,4720,144,155686,61256,2541564,Africa
188,Greenland,11971,0,21,0,2761,0,9189,4,210198,369,164926,2895928,56951,North America
189,Monaco,11917,19,54,0,11715,23,148,4,299769,1358,54960,1382502,39754,Europe
190,Yemen,11819,0,2149,0,9009,0,661,23,381,69,265253,8547,31034623,Asia
191,Tonga,10765,61,11,0,9609,354,1145,0,99768,102,502224,4654532,107900,Australia/Oceania
192,Saint Martin,10537,0,63,0,1399,0,9075,7,264224,1580,112382,2818075,39879,North America
193,Samoa,10210,0,20,0,1605,0,8585,4,50836,100,73313,365030,200841,Australia/Oceania
194,Sint Maarten,10065,0,86,0,9913,0,66,10,229942,1965,62056,1417710,43772,North America
195,Caribbean Netherlands,9814,10,34,0,9730,16,50,0,367951,1275,30126,1129499,26672,North America
196,Eritrea,9737,2,103,0,9631,0,3,0,2677,28,23693,6515,3636755,Africa
197,Niger,8957,0,309,0,8550,0,98,1,347,12,250880,9717,25818202,Africa
198,Guinea-Bissau,8213,0,171,0,7530,0,512,6,3999,83,135355,65912,2053579,Africa
199,Comoros,8100,0,160,0,7933,0,7,0,8963,177,0,0,903685,Africa
200,Vanuatu,7734,18,14,0,7443,181,277,0,24142,44,24976,77965,320350,Australia/Oceania
201,Sierra Leone,7682,1,125,0,0,0,0,0,928,15,259958,31413,8275476,Africa
202,Antigua and Barbuda,7663,0,137,0,7471,0,55,1,77076,1378,18901,190111,99421,North America
203,Liberia,7434,0,294,0,5747,0,1393,2,1409,56,139824,26500,5276394,Africa
204,Chad,7412,0,193,0,4874,0,2345,0,429,11,191341,11065,17292916,Africa
205,St. Vincent Grenadines,6791,4,106,0,6641,0,44,0,60858,950,99029,887452,111588,North America
206,British Virgin Islands,6467,112,62,0,0,0,0,1,211333,2026,103397,3378877,30601,North America
207,Turks and Caicos,5995,0,36,0,5918,0,41,4,151080,907,497269,12531665,39681,North America
208,Sao Tome and Principe,5964,0,73,0,5884,0,7,0,26314,322,29036,128111,226648,Africa
209,Saint Kitts and Nevis,5583,13,43,0,5521,2,19,0,103596,798,70707,1312013,53892,North America
210,Cook Islands,5267,21,1,0,5072,42,194,0,299363,57,17108,972377,17594,Australia/Oceania
211,Palau,4732,42,6,0,4086,43,640,1,259245,329,47272,2589821,18253,Australia/Oceania
212,St. Barth,4575,0,6,0,0,0,0,0,460632,604,78646,7918445,9932,North America
213,Kiribati,3089,0,13,0,2601,0,475,3,25150,106,0,0,122822,Australia/Oceania
214,Anguilla,2788,0,9,0,2766,0,13,4,182832,590,51382,3369532,15249,North America
215,Saint Pierre Miquelon,2727,0,1,0,2449,0,277,1,474922,174,23545,4100488,5742,North America
216,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0,The remaining areas
217,Wallis and Futuna,454,0,7,0,438,0,9,0,41739,644,20508,1885446,10877,Australia/Oceania
218,Montserrat,452,0,2,0,221,0,229,0,90436,400,10135,2027811,4998,North America
219,Falkland Islands,197,0,0,0,0,0,0,0,53737,0,8632,2354610,3666,South America
220,Macao,82,0,0,0,82,0,0,0,123,0,5375,8075,665626,Asia
221,Vatican City,29,0,0,0,29,0,0,0,36025,0,0,0,805,Europe
222,Marshall Islands,17,0,0,0,14,0,3,0,284,0,0,0,59925,Australia/Oceania
223,Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,624359,Africa
224,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0,The remaining areas
225,Niue,9,0,0,0,8,0,1,0,5468,0,0,0,1646,Australia/Oceania
226,Micronesia,7,0,0,0,1,0,6,0,60,0,0,0,117242,Australia/Oceania
227,Nauru,5,0,0,0,3,0,2,0,457,0,0,0,10949,Australia/Oceania
228,Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,6110,Africa
