#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
,World,"510,269,382","+306,236","6,246,343","+1,006","463,510,559","+436,799","40,512,480","42,352","65,463",801.3,,,,All
1,USA,"82,733,863",,"1,018,582 ",,"80,506,936",,"1,208,345","1,415","247,323","3,045","1,001,145,653","2,992,809","334,517,050 ",North America
2,India,"43,062,097",,"522,223 ",,"42,523,311",,"16,563",698,"30,659",372,"835,469,014","594,822","1,404,569,267 ",Asia
3,Brazil,"30,355,919",,"662,777 ",,"29,411,813",,"281,329","8,318","140,997","3,078","63,776,166","296,227","215,295,185 ",South America
4,France,"28,317,915",,"145,257 ",,"26,083,264",,"2,089,394","1,677","432,104","2,216","266,484,045","4,066,284","65,535,026 ",Europe
5,Germany,"24,323,967","+96,287","135,061 ",+244,"21,665,200","+240,000","2,523,706","1,980","288,647","1,603","122,332,384","1,451,689","84,269,009 ",Europe
6,UK,"21,978,198",,"173,693 ",,"20,954,780",,"849,725",339,"320,701","2,534","514,985,782","7,514,564","68,531,691 ",Europe
7,Russia,"18,151,895","+7,107","375,237 ",+176,"17,495,382","+11,899","281,276","2,300","124,287","2,569","273,400,000","1,871,990","146,047,759 ",Europe
8,S. Korea,"17,009,865","+80,301","22,325 ",+82,N/A,N/A,N/A,613,"331,259",435,"15,804,065","307,777","51,349,072 ",Asia
9,Italy,"16,161,339",,"162,781 ",,"14,755,958",,"1,242,600",416,"268,012","2,699","211,830,644","3,512,896","60,300,862 ",Europe
10,Turkey,"15,021,151",,"98,706 ",,"14,888,995",,"33,450",975,"174,701","1,148","158,372,522","1,841,923","85,982,165 ",Asia
11,Spain,"11,786,036",,"103,908 ",,"11,261,340",,"420,788",339,"251,905","2,221","471,036,328","10,067,554","46,787,566 ",Europe
12,Vietnam,"10,571,772",,"43,021 ",,"9,092,760",,"1,435,991",664,"106,867",435,"85,791,014","867,239","98,924,302 ",Asia
13,Argentina,"9,072,230",,"128,542 ",,"8,895,999",,"47,689",372,"197,451","2,798","35,716,069","777,338","45,946,666 ",South America
14,Netherlands,"8,042,469","+1,896","22,234 ",+6,"7,731,657","+25,013","288,578",77,"467,490","1,292","21,107,399","1,226,923","17,203,518 ",Europe
15,Japan,"7,688,507","+28,495","29,344 ",+36,"7,223,164","+44,416","435,999",200,"61,129",233,"46,888,808","372,798","125,775,499 ",Asia
16,Iran,"7,218,424","+1,307","141,024 ",+28,"6,972,286","+2,816","105,114",997,"83,994","1,641","50,914,586","592,448","85,939,287 ",Asia
17,Colombia,"6,091,551",,"139,780 ",,"5,925,040",,"26,731",342,"117,451","2,695","34,388,490","663,041","51,864,812 ",South America
18,Indonesia,"6,045,043",+576,"156,163 ",+30,"5,879,141","+4,058","9,739","2,771","21,685",560,"95,155,820","341,354","278,760,259 ",Asia
